frame_number,x_center,y_center,x_size,y_size
846,740.5,509.0,39,134
847,730.0,523.5,40,135
848,723.0,527.0,40,136
849,719.0,526.5,40,137
850,722.0,528.5,40,137
851,718.0,528.5,40,137
852,721.5,521.0,39,138
853,723.5,524.0,39,140
854,724.0,526.5,40,141
855,725.0,527.5,40,141
856,725.0,529.5,40,141
857,717.0,529.5,40,141
858,721.0,536.0,40,142
859,724.0,533.0,40,142
860,728.0,545.0,40,142
861,731.0,552.0,42,140
862,724.0,549.5,42,139
863,707.0,543.5,42,139
864,690.5,536.5,43,137
865,688.5,543.0,43,136
866,679.5,535.0,43,136
867,671.5,527.0,43,136
868,662.5,521.0,43,136
869,654.5,525.0,43,136
870,656.5,536.0,43,136
871,656.5,549.0,43,136
872,654.5,548.5,43,135
873,654.0,553.5,44,135
874,674.5,560.5,45,133
875,695.0,562.0,46,132
876,707.0,564.0,46,132
877,717.0,566.0,46,132
878,719.0,567.0,46,132
879,717.0,559.0,46,132
880,729.0,560.0,46,132
881,726.0,560.0,46,132
882,731.0,561.0,46,132
883,736.0,562.0,46,132
884,748.0,562.0,46,132
885,749.0,557.0,46,132
886,681.0,571.5,72,103
887,614.5,607.0,81,94
888,635.0,609.0,84,90
889,647.5,630.0,91,86
890,650.5,632.5,91,85
891,663.5,631.5,91,85
892,669.5,633.5,91,85
893,676.5,637.5,91,85
894,681.5,641.5,91,85
895,692.5,644.5,91,85
896,699.5,648.5,91,85
897,711.5,651.5,91,85
898,724.5,659.5,91,85
899,723.5,648.5,91,85
900,723.5,647.5,91,85
901,720.5,649.5,91,85
902,727.5,654.5,91,85
903,736.5,658.5,91,85
904,748.5,663.5,91,85
905,756.5,666.5,91,85
906,763.5,669.5,91,85
907,766.5,671.5,91,85
908,770.5,673.5,91,85
909,774.5,675.5,91,85
910,778.5,678.5,91,85
911,784.5,684.5,91,85
912,790.5,692.5,91,85
913,795.5,701.5,91,85
914,800.5,708.5,91,85
915,801.5,710.5,91,85
916,802.5,711.5,91,85
917,804.5,715.5,91,85
918,805.5,716.5,91,85
919,807.5,716.5,91,85
920,807.5,715.5,91,85
921,808.5,715.5,91,85
922,808.5,715.5,91,85
923,807.5,715.5,91,85
924,808.5,715.5,91,85
925,808.5,715.5,91,85
926,808.5,715.5,91,85
927,807.5,715.5,91,85
928,807.5,715.5,91,85
929,808.5,715.5,91,85
930,808.5,716.5,91,85
931,809.5,716.5,91,85
932,811.5,716.5,91,85
933,826.0,655.5,104,73
934,834.0,661.0,104,72
935,838.0,666.0,104,72
936,845.0,668.0,104,72
937,854.0,671.0,104,72
938,860.0,671.0,104,72
939,867.0,674.0,104,72
940,874.0,676.0,104,72
941,881.0,679.0,104,72
942,887.0,685.0,104,72
943,891.0,694.0,104,72
944,897.0,702.0,104,72
945,902.0,707.0,104,72
946,904.0,710.0,104,72
947,905.0,711.0,104,72
948,905.0,712.0,104,72
949,905.0,713.0,104,72
950,906.0,713.0,104,72
951,907.0,713.0,104,72
952,908.0,714.0,104,72
953,909.0,714.0,104,72
954,911.0,714.0,104,72
955,912.0,715.0,104,72
956,913.0,715.0,104,72
957,914.0,715.0,104,72
958,916.0,715.0,104,72
959,918.0,716.0,104,72
960,919.0,715.0,104,72
961,921.0,715.0,104,72
962,923.0,716.0,104,72
963,924.0,716.0,104,72
964,926.0,716.0,104,72
965,927.0,716.0,104,72
966,928.0,716.0,104,72
967,929.0,716.0,104,72
